name,type,version,versionIndex,numOfClassesInPackage,linesOfCode,freqOfChanges,percCommitsClassChanged,changeHasOccurredMetric,percCommitsPackChanged,totalAmountOfChanges
org/apache/cassandra/service/RangeSliceResponseResolver.java,class,unversioned,1,0,25,0,0,0,0,0
org/apache/cassandra/db/CounterColumn.java,class,unversioned,1,0,6,0,0,0,0,0
org/apache/cassandra/io/sstable/Component.java,class,unversioned,1,0,18,0,0,0,0,0
org/apache/cassandra/db/compaction/CompactionInfo.java,class,unversioned,1,0,47,0,0,0,0,0
org/apache/cassandra/db/Memtable.java,class,unversioned,1,0,13,0,0,0,0,0
org/apache/cassandra/utils/IntervalTree/Interval.java,class,unversioned,1,0,36,0,0,0,0,0
org/apache/cassandra/db/compaction/ParallelCompactionIterable.java,class,unversioned,1,0,17,0,0,0,0,0
org/apache/cassandra/db/SuperColumn.java,class,unversioned,1,0,159,0,0,0,0,0
org/apache/cassandra/db/index/PerRowSecondaryIndex.java,class,unversioned,1,0,11,0,0,0,0,0
org/apache/cassandra/service/RangeSliceResponseResolver.java,class,unversioned,1,0,12,0,0,0,0,0
org/apache/cassandra/utils/IntervalTree/Interval.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/service/AbstractWriteResponseHandler.java,class,unversioned,1,0,41,0,0,0,0,0
org/apache/cassandra/scheduler/IRequestScheduler.java,class,unversioned,1,0,3,0,0,0,0,0
org/apache/cassandra/io/sstable/SSTableReader.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/db/Memtable.java,class,unversioned,1,0,219,0,0,0,0,0
org/apache/cassandra/db/compaction/ParallelCompactionIterable.java,class,unversioned,1,0,87,0,0,0,0,0
org/apache/cassandra/auth/AllowAllAuthenticator.java,class,unversioned,1,0,10,0,0,0,0,0
org/apache/cassandra/service/AntiEntropyService.java,class,unversioned,1,0,45,0,0,0,0,0
org/apache/cassandra/hadoop/ColumnFamilyInputFormat.java,class,unversioned,1,0,26,0,0,0,0,0
org/apache/cassandra/db/CounterColumn.java,class,unversioned,1,0,204,0,0,0,0,0
org/apache/cassandra/service/CassandraDaemon.java,class,unversioned,1,0,10,0,0,0,0,0
org/apache/cassandra/db/compaction/CompactionIterable.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/db/Memtable.java,class,unversioned,1,0,17,0,0,0,0,0
org/apache/cassandra/db/compaction/ParallelCompactionIterable.java,class,unversioned,1,0,30,0,0,0,0,0
org/apache/cassandra/db/SuperColumnSerializer.java,class,unversioned,1,0,46,0,0,0,0,0
org/apache/cassandra/service/AntiEntropyService.java,class,unversioned,1,0,78,0,0,0,0,0
org/apache/cassandra/scheduler/WeightedQueueMBean.java,class,unversioned,1,0,6,0,0,0,0,0
org/apache/cassandra/io/sstable/SSTableReader.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/cassandra/io/sstable/Component.java,class,unversioned,1,0,91,0,0,0,0,0
org/apache/cassandra/cql/QueryProcessor.java,class,unversioned,1,0,6,0,0,0,0,0
