name,type,version,versionIndex,numOfClassesInPackage,linesOfCode,freqOfChanges,percCommitsClassChanged,changeHasOccurredMetric,percCommitsPackChanged,totalAmountOfChanges
org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java,class,unversioned,1,0,24,0,0,0,0,0
org/apache/openjpa/lib/util/J2DoPrivHelper.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,class,unversioned,1,0,7,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,class,unversioned,1,0,520,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/exps/WhenCondition.java,class,unversioned,1,0,42,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java,class,unversioned,1,0,29,0,0,0,0,0
org/apache/openjpa/jdbc/meta/FieldMapping.java,class,unversioned,1,0,837,0,0,0,0,0
org/apache/openjpa/slice/jdbc/DistributedConnection.java,class,unversioned,1,0,245,0,0,0,0,0
org/apache/openjpa/util/MultiLoaderClassResolver.java,class,unversioned,1,0,14,0,0,0,0,0
org/apache/openjpa/kernel/DelegatingStoreManager.java,class,unversioned,1,0,119,0,0,0,0,0
org/apache/openjpa/persistence/query/InExpression.java,class,unversioned,1,0,7,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/exps/WhenScalar.java,class,unversioned,1,0,41,0,0,0,0,0
org/apache/openjpa/persistence/HintValueConverter.java,class,unversioned,1,0,24,0,0,0,0,0
org/apache/openjpa/kernel/exps/ContainsExpression.java,class,unversioned,1,0,33,0,0,0,0,0
org/apache/openjpa/abstractstore/AbstractStoreBrokerFactory.java,class,unversioned,1,0,47,0,0,0,0,0
org/apache/openjpa/persistence/query/IsEmptyExpression.java,class,unversioned,1,0,8,0,0,0,0,0
org/apache/openjpa/util/NoTransactionException.java,class,unversioned,1,0,7,0,0,0,0,0
org/apache/openjpa/kernel/DetachManager.java,class,unversioned,1,0,199,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java,class,unversioned,1,0,25,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/exps/CoalesceExpression.java,class,unversioned,1,0,6,0,0,0,0,0
org/apache/openjpa/persistence/HintValueConverter.java,class,unversioned,1,0,35,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,class,unversioned,1,0,9,0,0,0,0,0
org/apache/openjpa/persistence/query/IndexExpression.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/openjpa/util/NoResultException.java,class,unversioned,1,0,11,0,0,0,0,0
org/apache/openjpa/kernel/DetachManager.java,class,unversioned,1,0,54,0,0,0,0,0
org/apache/openjpa/kernel/exps/ContainsKeyExpression.java,class,unversioned,1,0,7,0,0,0,0,0
org/apache/openjpa/persistence/HintValueConverter.java,class,unversioned,1,0,19,0,0,0,0,0
org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,class,unversioned,1,0,7,0,0,0,0,0
org/apache/openjpa/slice/jdbc/DistributedDataSource.java,class,unversioned,1,0,57,0,0,0,0,0
org/apache/openjpa/kernel/exps/Context.java,class,unversioned,1,0,133,0,0,0,0,0
org/apache/openjpa/jdbc/meta/JDBCColumnOrder.java,class,unversioned,1,0,35,0,0,0,0,0
org/apache/openjpa/event/RemoteCommitEvent.java,class,unversioned,1,0,77,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/exps/CollectionParam.java,class,unversioned,1,0,23,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java,class,unversioned,1,0,51,0,0,0,0,0
org/apache/openjpa/persistence/query/CaseExpression.java,class,unversioned,1,0,23,0,0,0,0,0
org/apache/openjpa/persistence/XMLPersistenceMetaDataSerializer.java,class,unversioned,1,0,29,0,0,0,0,0
org/apache/openjpa/persistence/query/GreaterEqualExpression.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/exps/CoalesceExpression.java,class,unversioned,1,0,112,0,0,0,0,0
org/apache/openjpa/util/MapChangeTrackerImpl.java,class,unversioned,1,0,72,0,0,0,0,0
org/apache/openjpa/kernel/exps/ContainsValueExpression.java,class,unversioned,1,0,7,0,0,0,0,0
org/apache/openjpa/jdbc/meta/FieldMappingInfo.java,class,unversioned,1,0,246,0,0,0,0,0
org/apache/openjpa/kernel/DetachManager.java,class,unversioned,1,0,539,0,0,0,0,0
org/apache/openjpa/jdbc/sql/MaxDBDictionary.java,class,unversioned,1,0,0,0,0,0,0,0
org/apache/openjpa/persistence/query/Expression.java,class,unversioned,1,0,45,0,0,0,0,0
org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java,class,unversioned,1,0,57,0,0,0,0,0
org/apache/openjpa/persistence/query/DomainObject.java,class,unversioned,1,0,9,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/exps/CollectionParam.java,class,unversioned,1,0,115,0,0,0,0,0
org/apache/openjpa/event/RemoteCommitEventManager.java,class,unversioned,1,0,129,0,0,0,0,0
org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,class,unversioned,1,0,96,0,0,0,0,0
