name,type,version,versionIndex,numOfClassesInPackage,linesOfCode,freqOfChanges,percCommitsClassChanged,changeHasOccurredMetric,percCommitsPackChanged,totalAmountOfChanges
org/apache/pdfbox/pdmodel/graphics/xobject/PDCcitt.java,class,unversioned,1,0,431,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/COSStreamArray.java,class,unversioned,1,0,83,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/function/type4/InstructionSequence.java,class,unversioned,1,0,37,0,0,0,0,0
org/apache/pdfbox/filter/IdentityFilter.java,class,unversioned,1,0,18,0,0,0,0,0
org/apache/pdfbox/pdmodel/documentinterchange/logicalstructure/PDUserProperty.java,class,unversioned,1,0,55,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/COSDictionaryMap.java,class,unversioned,1,0,101,0,0,0,0,0
org/apache/pdfbox/io/RandomAccessFileInputStream.java,class,unversioned,1,0,46,0,0,0,0,0
org/apache/pdfbox/pdmodel/text/PDTextState.java,class,unversioned,1,0,79,0,0,0,0,0
org/apache/pdfbox/pdmodel/graphics/xobject/PDCcitt.java,class,unversioned,1,0,182,0,0,0,0,0
org/apache/pdfbox/Encrypt.java,class,unversioned,1,0,124,0,0,0,0,0
org/apache/pdfbox/preflight/annotation/AnnotationValidator.java,class,unversioned,1,0,102,0,0,0,0,0
org/apache/pdfbox/pdmodel/graphics/optionalcontent/PDOptionalContentGroup.java,class,unversioned,1,0,26,0,0,0,0,0
org/apache/pdfbox/pdmodel/graphics/xobject/PDInlinedImage.java,class,unversioned,1,0,62,0,0,0,0,0
org/apache/pdfbox/preflight/annotation/AnnotationValidatorFactory.java,class,unversioned,1,0,31,0,0,0,0,0
org/apache/pdfbox/pdmodel/graphics/optionalcontent/PDOptionalContentProperties.java,class,unversioned,1,0,17,0,0,0,0,0
org/apache/fontbox/afm/AFMParser.java,class,unversioned,1,0,550,0,0,0,0,0
org/apache/pdfbox/pdmodel/font/PDType1AfmPfbFont.java,class,unversioned,1,0,110,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/PDDictionaryWrapper.java,class,unversioned,1,0,28,0,0,0,0,0
org/apache/pdfbox/encoding/AFMEncoding.java,class,unversioned,1,0,13,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/function/type4/InstructionSequenceBuilder.java,class,unversioned,1,0,54,0,0,0,0,0
org/apache/pdfbox/ExportXFDF.java,class,unversioned,1,0,50,0,0,0,0,0
org/apache/pdfbox/filter/JBIG2Filter.java,class,unversioned,1,0,47,0,0,0,0,0
org/apache/pdfbox/pdmodel/documentinterchange/logicalstructure/Revisions.java,class,unversioned,1,0,46,0,0,0,0,0
org/apache/fontbox/ttf/TTFSubFont.java,class,unversioned,1,0,709,0,0,0,0,0
org/apache/pdfbox/preflight/xobject/AbstractXObjValidator.java,class,unversioned,1,0,44,0,0,0,0,0
org/apache/pdfbox/ExportFDF.java,class,unversioned,1,0,50,0,0,0,0,0
org/apache/pdfbox/pdmodel/ConformingPDDocument.java,class,unversioned,1,0,35,0,0,0,0,0
org/apache/fontbox/ttf/TTFTable.java,class,unversioned,1,0,31,0,0,0,0,0
org/apache/jempbox/xmp/XMPSchemaIptc4xmpCore.java,class,unversioned,1,0,86,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/function/type4/Parser.java,class,unversioned,1,0,4,0,0,0,0,0
org/apache/pdfbox/encoding/DictionaryEncoding.java,class,unversioned,1,0,27,0,0,0,0,0
org/apache/pdfbox/filter/LZWDictionary.java,class,unversioned,1,0,87,0,0,0,0,0
org/apache/pdfbox/pdmodel/font/PDType1CFont.java,class,unversioned,1,0,10,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/PDMatrix.java,class,unversioned,1,0,33,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/function/type4/Operators.java,class,unversioned,1,0,91,0,0,0,0,0
org/apache/pdfbox/filter/JPXFilter.java,class,unversioned,1,0,23,0,0,0,0,0
org/apache/pdfbox/preflight/xobject/XObjFormValidator.java,class,unversioned,1,0,68,0,0,0,0,0
org/apache/pdfbox/pdmodel/graphics/xobject/PDJpeg.java,class,unversioned,1,0,282,0,0,0,0,0
org/apache/pdfbox/pdmodel/interactive/form/PDChoiceField.java,class,unversioned,1,0,47,0,0,0,0,0
org/apache/fontbox/ttf/TrueTypeFont.java,class,unversioned,1,0,55,0,0,0,0,0
org/apache/pdfbox/preflight/annotation/FreeTextAnnotationValidator.java,class,unversioned,1,0,19,0,0,0,0,0
org/apache/pdfbox/ExtractImages.java,class,unversioned,1,0,126,0,0,0,0,0
org/apache/pdfbox/pdmodel/graphics/optionalcontent/PDOptionalContentProperties.java,class,unversioned,1,0,185,0,0,0,0,0
org/apache/pdfbox/pdmodel/PDDestinationNameTreeNode.java,class,unversioned,1,0,17,0,0,0,0,0
org/apache/pdfbox/preflight/xobject/XObjPostscriptValidator.java,class,unversioned,1,0,11,0,0,0,0,0
org/apache/pdfbox/pdmodel/interactive/form/PDFieldFactory.java,class,unversioned,1,0,70,0,0,0,0,0
org/apache/pdfbox/pdmodel/font/PDType1CFont.java,class,unversioned,1,0,327,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/PDMetadata.java,class,unversioned,1,0,20,0,0,0,0,0
org/apache/pdfbox/filter/LZWFilter.java,class,unversioned,1,0,90,0,0,0,0,0
org/apache/jempbox/xmp/XMPSchemaMediaManagement.java,class,unversioned,1,0,87,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/function/type4/Parser.java,class,unversioned,1,0,7,0,0,0,0,0
org/apache/pdfbox/preflight/process/reflect/AnnotationValidationProcess.java,class,unversioned,1,0,18,0,0,0,0,0
org/apache/pdfbox/encoding/Encoding.java,class,unversioned,1,0,156,0,0,0,0,0
org/apache/pdfbox/pdmodel/font/PDType1CFont.java,class,unversioned,1,0,10,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/PDMemoryStream.java,class,unversioned,1,0,59,0,0,0,0,0
org/apache/pdfbox/preflight/xobject/XObjImageValidator.java,class,unversioned,1,0,74,0,0,0,0,0
org/apache/pdfbox/pdmodel/interactive/form/PDField.java,class,unversioned,1,0,253,0,0,0,0,0
org/apache/fontbox/util/BoundingBox.java,class,unversioned,1,0,52,0,0,0,0,0
org/apache/pdfbox/preflight/annotation/InkAnnotationValdiator.java,class,unversioned,1,0,19,0,0,0,0,0
org/apache/pdfbox/pdmodel/graphics/pattern/PDPatternResources.java,class,unversioned,1,0,55,0,0,0,0,0
org/apache/pdfbox/pdmodel/PDDocument.java,class,unversioned,1,0,635,0,0,0,0,0
org/apache/pdfbox/ExtractText.java,class,unversioned,1,0,205,0,0,0,0,0
org/apache/pdfbox/pdmodel/graphics/pattern/PDShadingPatternResources.java,class,unversioned,1,0,97,0,0,0,0,0
org/apache/pdfbox/pdmodel/PDDocumentInformation.java,class,unversioned,1,0,84,0,0,0,0,0
org/apache/pdfbox/ImportXFDF.java,class,unversioned,1,0,45,0,0,0,0,0
org/apache/pdfbox/pdmodel/fdf/FDFAnnotationUnderline.java,class,unversioned,1,0,13,0,0,0,0,0
org/apache/pdfbox/encoding/MacRomanEncoding.java,class,unversioned,1,0,220,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/PDNameTreeNode.java,class,unversioned,1,0,178,0,0,0,0,0
org/apache/pdfbox/pdmodel/font/PDType1Font.java,class,unversioned,1,0,231,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/function/type4/ArithmeticOperators.java,class,unversioned,1,0,6,0,0,0,0,0
org/apache/jempbox/xmp/XMPSchemaPDF.java,class,unversioned,1,0,26,0,0,0,0,0
org/apache/pdfbox/pdmodel/common/function/type4/Parser.java,class,unversioned,1,0,154,0,0,0,0,0
org/apache/pdfbox/encoding/EncodingManager.java,class,unversioned,1,0,21,0,0,0,0,0
org/apache/pdfbox/filter/LZWNode.java,class,unversioned,1,0,25,0,0,0,0,0
org/apache/pdfbox/ImportFDF.java,class,unversioned,1,0,44,0,0,0,0,0
org/apache/pdfbox/pdmodel/PDDocumentCatalog.java,class,unversioned,1,0,246,0,0,0,0,0
org/apache/pdfbox/util/PDFHighlighter.java,class,unversioned,1,0,65,0,0,0,0,0
