class,buo,bdc,spf,bco,all
lang.java.avro.src.main.java.org.apache.avro.SchemaBuilder$NullBuilder,1,1,0,0,2
lang.java.mapred.src.main.java.org.apache.avro.hadoop.io.AvroDatumConverterFactory$FloatWritableConverter,0,1,0,0,1
doc.examples.mr-example.src.main.java.example.AvroWordCount,0,1,0,0,1
lang.java.ipc.src.main.java.org.apache.avro.ipc.generic.GenericRequestor,1,1,0,0,2
java.lang.Override,0,1,0,0,1
Server,0,1,0,0,1
lang.java.avro.src.main.java.org.apache.avro.SchemaCompatibility$ReaderWriter,1,1,0,0,2
lang.java.ipc.src.main.java.org.apache.avro.ipc.specific.SpecificResponder,1,1,0,0,2
FileNotFoundException,1,1,0,0,2
ArrayList,0,1,0,0,1
lang.java.avro.src.test.java.org.apache.avro.io.TestBlockingIO$S,0,1,0,0,1
lang.java.avro.src.main.java.org.apache.avro.Schema$EnumSchema,1,1,0,0,2
String,0,1,0,0,1
java.lang.Integer,0,1,0,0,1
lang.java.avro.src.main.java.org.apache.avro.SchemaBuilder$FieldAssembler,1,1,0,0,2
lang.java.ipc.src.test.java.org.apache.avro.io.Perf$GenericOneTimeUse,1,1,0,0,2
lang.java.avro.src.main.java.org.apache.avro.io.BlockingBinaryEncoder$BlockedValue,0,1,0,0,1
lang.java.avro.src.test.java.org.apache.avro.io.TestValidatingIO$Encoding,0,1,0,0,1
lang.java.avro.src.main.java.org.apache.avro.io.parsing.Symbol$ImplicitAction,1,1,0,0,2
lang.java.mapred.src.test.java.org.apache.avro.mapreduce.TestAvroMultipleOutputs$SortReducer,0,1,0,0,1
TreeSet,0,1,0,0,1
lang.java.trevni.core.src.test.java.org.apache.trevni.TestUtil,1,1,0,0,2
lang.java.avro.src.main.java.org.apache.avro.io.parsing.Symbol$IntCheckAction,1,1,0,0,2
ColumnMetaData,0,1,0,0,1
lang.java.ipc.src.main.java.org.apache.avro.ipc.SocketServer,0,1,0,0,1
SequenceFile.Writer,0,1,0,0,1
lang.java.avro.src.main.java.org.apache.avro.reflect.FieldAccessUnsafe$UnsafeCustomEncodedField,0,1,0,0,1
Stringable,1,1,0,0,2
lang.java.avro.src.test.java.org.apache.avro.reflect.TestReflect$R12,1,1,0,0,2
lang.java.avro.src.test.java.org.apache.avro.reflect.TestReflect$R11,1,1,0,0,2
lang.java.mapred.src.test.java.org.apache.avro.mapred.TestReflectJob$Count,0,1,0,0,1
lang.java.avro.src.test.java.org.apache.avro.reflect.TestReflect$R13,1,1,0,0,2
