class,buo,bdc,spf,bco,all
CamelLogger,1,1,0,0,2
components.camel-hl7.src.main.java.org.apache.camel.component.hl7.ValidationContextPredicate,1,1,0,0,2
components.camel-jxpath.src.test.java.org.apache.camel.language.jxpath.JXPathFilterTest,1,1,0,0,2
camel-core.src.test.java.org.apache.camel.processor.async.AsyncEndpointFailOverLoadBalanceMixedTest,1,1,0,0,2
camel-core.src.main.java.org.apache.camel.CamelContext,0,1,0,0,1
components.camel-avro.src.test.java.org.apache.camel.component.avro.processors.GetProcessor,1,1,0,0,2
camel-core.src.test.java.org.apache.camel.processor.aggregator.AggregateCompletionPredicateTest,1,1,0,0,2
ArrayList,1,1,0,0,2
components.camel-cxf.src.test.java.org.apache.camel.component.cxf.mtom.HelloImpl,0,1,0,0,1
components.camel-xstream.src.test.java.org.apache.camel.dataformat.xstream.PurchaseOrder,1,1,0,0,2
components.camel-cxf.src.test.java.org.apache.camel.component.cxf.soap.headers.HeaderTesterWithInsertionImpl,0,1,0,0,1
SessionSettings,0,1,0,0,1
tests.camel-itest.src.test.java.org.apache.camel.itest.jetty.JettyVelocityTest,1,1,0,0,2
components.camel-saxon.src.test.java.org.apache.camel.builder.saxon.XQueryHeaderNameResultTypeAndNamespaceTest,1,1,0,0,2
components.camel-guice.src.test.java.org.apache.camel.guice.MyConfigurableRoute,1,1,0,0,2
components.camel-websocket.src.test.java.org.apache.camel.component.websocket.WebsocketProducerRouteExampleTest,1,1,0,0,2
components.camel-xmpp.src.test.java.org.apache.camel.component.xmpp.XmppRouteTest,1,1,0,0,2
SubmitSm,0,1,0,0,1
components.camel-syslog.src.main.java.org.apache.camel.component.syslog.SyslogSeverity,1,1,0,0,2
components.camel-hazelcast.src.main.java.org.apache.camel.processor.idempotent.hazelcast.HazelcastIdempotentRepository,1,1,0,0,2
camel-core.src.test.java.org.apache.camel.issues.StopRouteShouldNotStopContextScopedErrorHandlerIssueTest,1,1,0,0,2
components.camel-bindy.src.main.java.org.apache.camel.dataformat.bindy.BindyAbstractDataFormat,1,1,0,0,2
components.camel-http.src.test.java.org.apache.camel.component.http.HttpGetWithPathHeaderTest,1,1,0,0,2
components.camel-jms.src.test.java.org.apache.camel.component.jms.config.JmsEndpointWithCustomDestinationTest,1,1,0,0,2
ExecCommandExecutor,0,1,0,0,1
components.camel-twitter.src.main.java.org.apache.camel.component.twitter.consumer.streaming.StreamingConsumer,0,1,0,0,1
components.camel-spring.src.test.java.org.apache.camel.spring.issues.MyHelloBean,1,1,0,0,2
components.camel-servlet.src.main.java.org.apache.camel.component.servlet.ServletEndpoint,1,1,0,0,2
components.camel-spring.src.test.java.org.apache.camel.spring.config.RouteBuilderRef2Test,1,1,0,0,2
MediaSizeName,0,1,0,0,1
DataFormatResolver,1,1,0,0,2
components.camel-spring.src.test.java.org.apache.camel.component.properties.SpringPropertiesComponent2Test,1,1,0,0,2
components.camel-mail.src.test.java.org.apache.camel.component.mail.MailDefaultDelayForMailConsumeTest,1,1,0,0,2
components.camel-cxf.src.test.java.org.apache.camel.component.cxf.CxfTimeoutTest,1,1,0,0,2
components.camel-http.src.test.java.org.apache.camel.component.http.HttpQueryGoogleProxyTest,1,1,0,0,2
ExpressionAdapter,0,1,0,0,1
components.camel-core-osgi.src.main.java.org.apache.camel.core.osgi.OsgiEventAdminNotifier,1,1,0,0,2
camel-core.src.test.java.org.apache.camel.processor.async.AsyncEndpointRecipientListFineGrainedErrorHandlingTest,0,1,0,0,1
camel-core.src.main.java.org.apache.camel.model.ThreadPoolProfileDefinition,1,1,0,0,2
OnExceptionWithRouteAndContinueTest,0,1,0,0,1
components.camel-spring.src.test.java.org.apache.camel.component.properties.SpringPackageScanPropertiesTest,1,1,0,0,2
components.camel-aws.src.main.java.org.apache.camel.component.aws.sdb.SelectCommand,1,1,0,0,2
components.camel-netty.src.test.java.org.apache.camel.component.netty.NettyBacklogTest,1,1,0,0,2
camel-core.src.main.java.org.apache.camel.language.simple.FileLanguage,0,1,0,0,1
camel-core.src.test.java.org.apache.camel.processor.async.AsyncFailureProcessorWithRedeliveryTest,1,1,0,0,2
components.camel-mybatis.src.test.java.org.apache.camel.component.mybatis.MyBatisBatchConsumerTest,1,1,0,0,2
camel-core.src.test.java.org.apache.camel.converter.PrimitiveTypeConverterIssueTest,1,1,0,0,2
components.camel-jmx.src.test.java.org.apache.camel.component.jmx.JMXUriBuilderTest,1,1,0,0,2
camel-core.src.test.java.org.apache.camel.processor.aggregator.AggregateShouldSkipFilteredExchangesTest$MyAggregationStrategy,0,1,0,0,1
components.camel-spring.src.main.java.org.apache.camel.osgi.SpringCamelContextFactory,0,1,0,0,1
camel-core.src.main.java.org.apache.camel.model.dataformat.JsonLibrary,1,1,0,0,2
XmlRpcClientConfigurer,0,1,0,0,1
components.camel-ftp.src.test.java.org.apache.camel.component.file.remote.FileToFtpsExplicitTLSWithoutClientAuthAndSSLContextParametersTest,0,1,0,0,1
