class,buo,bdc,spf,bco,all
test.unit.org.apache.cassandra.locator.NetworkTopologyStrategyTest,1,1,0,0,2
Serializable,1,1,0,0,2
src.java.org.apache.cassandra.db.ReadVerbHandler,1,1,0,0,2
org.apache.hadoop.fs.FileSystem,0,1,0,0,1
Memory,0,1,0,0,1
LastErrorException,1,1,0,0,2
ArrayList,0,1,0,0,1
FileNotFoundException,1,1,0,0,2
src.java.org.apache.cassandra.cli.CliCompiler,0,1,0,0,1
org.apache.hadoop.mapreduce.Reducer.Context,0,1,0,0,1
src.java.org.apache.cassandra.cql.jdbc.JdbcFloat,1,1,0,0,2
EndpointState,1,1,0,0,2
src.java.org.apache.cassandra.db.compaction.LeveledManifest,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$batch_mutate_args,1,1,0,0,2
src.java.org.apache.cassandra.db.marshal.CounterColumnType,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$truncate_result,1,1,0,0,2
src.java.org.apache.cassandra.tools.SSTableImport,0,1,0,0,1
MessageDigest,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$Processor$describe_partitioner,1,1,0,0,2
tools.stress.src.org.apache.cassandra.stress.Stress$Operations,0,1,0,0,1
EnumMap,1,1,0,0,2
IllegalArgumentException,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$system_update_column_family_result$_Fields,1,1,0,0,2
src.java.org.apache.cassandra.service.AntiEntropyService$RepairFuture,1,1,0,0,2
SecureRandom,1,1,0,0,2
src.java.org.apache.cassandra.hadoop.ColumnFamilyRecordReader$RowIterator,0,1,0,0,1
src.java.org.apache.cassandra.db.IndexScanCommand$IndexScanCommandSerializer,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$system_add_keyspace_args,1,1,0,0,2
examples.simple_authentication.src.org.apache.cassandra.auth.SimpleAuthenticator$PasswordMode,0,1,0,0,1
java.io.Serializable,1,1,0,0,2
test.unit.org.apache.cassandra.db.compaction.CompactionsTest,1,1,0,0,2
src.java.org.apache.cassandra.service.SocketSessionManagementService,1,1,0,0,2
src.java.org.apache.cassandra.concurrent.IExecutorMBean,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$get_count_result$_Fields,1,1,0,0,2
CounterColumn,1,1,0,0,2
src.java.org.apache.cassandra.db.index.PerRowSecondaryIndex,1,1,0,0,2
src.java.org.apache.cassandra.cql.SelectExpression,0,1,0,0,1
MBeanRegistrationException,1,1,0,0,2
AbstractStatsDeque,0,1,0,0,1
TNonblockingServerTransport,0,1,0,0,1
src.java.org.apache.cassandra.db.commitlog.ICommitLogExecutorService,0,1,0,0,1
Cassandra.Client,0,1,0,0,1
DecimalFormat,0,1,0,0,1
src.java.org.apache.cassandra.db.migration.UpdateKeyspace,1,1,0,0,2
src.java.org.apache.cassandra.db.DeletedColumn,1,1,0,0,2
src.java.org.apache.cassandra.utils.ExpiringMap$CacheableObject,1,1,0,0,2
src.java.org.apache.cassandra.db.columniterator.SimpleAbstractColumnIterator,0,1,0,0,1
TProtocol,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$Processor$get,1,1,0,0,2
src.java.org.apache.cassandra.utils.MerkleTree$TreeRange,1,1,0,0,2
src.java.org.apache.cassandra.gms.IFailureDetector,0,1,0,0,1
src.java.org.apache.cassandra.tools.NodeCmd$ToolOptions,0,1,0,0,1
RejectedExecutionHandler,0,1,0,0,1
src.java.org.apache.cassandra.config.CFMetaData,0,1,0,0,1
src.java.org.apache.cassandra.locator.AbstractEndpointSnitch,0,1,0,0,1
AtomicLong,1,1,0,0,2
src.java.org.apache.cassandra.db.compaction.PrecompactedRow,0,1,0,0,1
TestCase,1,1,0,0,2
src.java.org.apache.cassandra.tools.BulkLoader$LoaderOptions,0,1,0,0,1
src.java.org.apache.cassandra.streaming.StreamReply$Status,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$describe_version_result$_Fields,1,1,0,0,2
src.java.org.apache.cassandra.db.commitlog.ReplayPosition$ReplayPositionSerializer,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$Processor$login,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$remove_result,1,1,0,0,2
src.java.org.apache.cassandra.dht.Token,0,1,0,0,1
src.java.org.apache.cassandra.utils.Throttle$ThroughputFunction,1,1,0,0,2
Comparable,0,1,0,0,1
src.java.org.apache.cassandra.cql.StatementType,0,1,0,0,1
GarbageCollectorMXBean,1,1,0,0,2
src.java.org.apache.cassandra.db.compaction.CompactionManager$CompactionExecutorStatsCollector,0,1,0,0,1
src.java.org.apache.cassandra.net.MessagingServiceMBean,1,1,0,0,2
src.java.org.apache.cassandra.net.ResponseVerbHandler,1,1,0,0,2
src.java.org.apache.cassandra.dht.AbstractBounds$AbstractBoundsSerializer,0,1,0,0,1
org.apache.thrift.protocol.TField,1,1,0,0,2
CompactionInfo,0,1,0,0,1
src.java.org.apache.cassandra.db.marshal.LongType,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$describe_keyspace_args$_Fields,1,1,0,0,2
src.java.org.apache.cassandra.cql.AbstractModification,0,1,0,0,1
src.java.org.apache.cassandra.streaming.PendingFile,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$login_args$_Fields,1,1,0,0,2
src.java.org.apache.cassandra.db.marshal.MarshalException,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.IndexExpression,1,1,0,0,2
src.java.org.apache.cassandra.cql.DeleteStatement,0,1,0,0,1
IAuthority,0,1,0,0,1
src.java.org.apache.cassandra.net.MessagingService,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$AsyncClient$set_keyspace_call,1,1,0,0,2
test.long.org.apache.cassandra.db.compaction.LongCompactionSpeedTest,1,1,0,0,2
test.unit.org.apache.cassandra.service.AntiEntropyServiceCounterTest,1,1,0,0,2
src.java.org.apache.cassandra.db.Truncation,1,1,0,0,2
src.java.org.apache.cassandra.db.marshal.FloatType,1,1,0,0,2
org.apache.thrift.async.TAsyncClientManager,1,1,0,0,2
StringBuilder,1,1,0,0,2
src.java.org.apache.cassandra.tools.NodeCmd,0,1,0,0,1
src.java.org.apache.cassandra.io.sstable.SSTableMetadata$Collector,1,1,0,0,2
test.unit.org.apache.cassandra.db.ReadMessageTest,0,1,0,0,1
src.java.org.apache.cassandra.db.TruncationSerializer,1,1,0,0,2
src.java.org.apache.cassandra.cql.jdbc.JdbcCounterColumn,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.ColumnOrSuperColumn,1,1,0,0,2
src.java.org.apache.cassandra.db.columniterator.SimpleSliceReader,1,1,0,0,2
src.java.org.apache.cassandra.cache.InstrumentingCacheMBean,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$truncate_args$_Fields,1,1,0,0,2
IMutation,1,1,0,0,2
org.apache.thrift.async.TAsyncMethodCall,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Constants,1,1,0,0,2
ByteBuffer,1,1,0,0,2
src.java.org.apache.cassandra.hadoop.ColumnFamilyRecordReader,0,1,0,0,1
ObjectName,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$system_update_keyspace_result,1,1,0,0,2
SliceRange,0,1,0,0,1
src.java.org.apache.cassandra.tools.BulkLoader$CmdLineOptions,0,1,0,0,1
ThreadPoolExecutor,1,1,0,0,2
src.java.org.apache.cassandra.db.ColumnFamilySerializer,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$Processor$describe_version,1,1,0,0,2
tools.stress.src.org.apache.cassandra.stress.Session,0,1,0,0,1
KsDef,0,1,0,0,1
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$Processor$multiget_slice,1,1,0,0,2
interface.thrift.gen-java.org.apache.cassandra.thrift.Cassandra$get_range_slices_result$_Fields,1,1,0,0,2
ColumnFamilyNotDefinedException,0,1,0,0,1
src.java.org.apache.cassandra.net.Message,1,1,0,0,2
src.java.org.apache.cassandra.db.compaction.AbstractCompactionStrategy,0,1,0,0,1
src.java.org.apache.cassandra.db.SliceFromReadCommandSerializer,1,1,0,0,2
TaskAttemptContext,0,1,0,0,1
src.java.org.apache.cassandra.io.sstable.SSTableDeletingTask,1,1,0,0,2
src.java.org.apache.cassandra.thrift.CustomTThreadPoolServer$WorkerProcess,0,1,0,0,1
src.java.org.apache.cassandra.db.index.keys.KeysSearcher,0,1,0,0,1
