class,buo,bdc,spf,bco,all
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-jobclient.src.test.java.org.apache.hadoop.mapred.MiniMRCluster,1,1,0,0,2
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-common.src.main.java.org.apache.hadoop.mapreduce.v2.api.protocolrecords.RenewDelegationTokenRequest,1,1,0,0,2
hadoop-yarn-project.hadoop-yarn.hadoop-yarn-common.src.main.java.org.apache.hadoop.yarn.api.protocolrecords.impl.pb.StartContainerRequestPBImpl,0,1,0,0,1
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-common.src.main.java.org.apache.hadoop.mapreduce.v2.api.protocolrecords.impl.pb.GetTaskReportsRequestPBImpl,0,1,0,0,1
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-app.src.main.java.org.apache.hadoop.mapreduce.v2.app.security.authorize.ClientHSPolicyProvider,1,1,0,0,2
Diff,0,1,0,0,1
hadoop-common-project.hadoop-common.src.main.java.org.apache.hadoop.io.DoubleWritable,1,1,0,0,2
ArrayList,1,1,0,0,2
hadoop-common-project.hadoop-common.src.main.java.org.apache.hadoop.fs.MD5MD5CRC32FileChecksum,1,1,0,0,2
hadoop-yarn-project.hadoop-yarn.hadoop-yarn-server.hadoop-yarn-server-resourcemanager.src.test.java.org.apache.hadoop.yarn.server.resourcemanager.TestAppManager$TestRMAppManager,1,1,0,0,2
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-core.src.main.java.org.apache.hadoop.mapred.IndexCache,1,1,0,0,2
hadoop-common-project.hadoop-common.src.test.java.org.apache.hadoop.fs.shell.TestTextCommand,1,1,0,0,2
hadoop-yarn-project.hadoop-yarn.hadoop-yarn-server.hadoop-yarn-server-nodemanager.src.main.java.org.apache.hadoop.yarn.server.nodemanager.containermanager.application.ApplicationEventType,1,1,0,0,2
InterfaceAudience.Private,1,1,0,0,2
ResultSet,0,1,0,0,1
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-jobclient.src.test.java.org.apache.hadoop.mapreduce.lib.chain.TestSingleElementChain,1,1,0,0,2
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-app.src.test.java.org.apache.hadoop.mapreduce.v2.app.webapp.TestAMWebApp,1,1,0,0,2
hadoop-common-project.hadoop-common.src.main.java.org.apache.hadoop.fs.DelegationTokenRenewer$Renewable,1,1,0,0,2
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-jobclient.src.test.java.org.apache.hadoop.mapred.TestMapRed,1,1,0,0,2
EnumMap,0,1,0,0,1
RenewDelegationTokenRequestProto.Builder,1,1,0,0,2
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-jobclient.src.test.java.org.apache.hadoop.mapreduce.lib.input.TestCombineFileInputFormat$DummyInputFormat,0,1,0,0,1
AsyncLogger,0,1,0,0,1
NfsFileType,0,1,0,0,1
LocatedBlockProto,0,1,0,0,1
NodeIdPBImpl,0,1,0,0,1
hadoop-common-project.hadoop-common.src.main.java.org.apache.hadoop.metrics2.util.MetricsCache$Record,0,1,0,0,1
hadoop-hdfs-project.hadoop-hdfs.src.main.java.org.apache.hadoop.hdfs.server.blockmanagement.NumberReplicas,1,1,0,0,2
hadoop-mapreduce-project.hadoop-mapreduce-client.hadoop-mapreduce-client-core.src.main.java.org.apache.hadoop.mapreduce.lib.db.DBConfiguration,1,1,0,0,2
hadoop-yarn-project.hadoop-yarn.hadoop-yarn-common.src.main.java.org.apache.hadoop.yarn.webapp.view.package-info,1,1,0,0,2
hadoop-yarn-project.hadoop-yarn.hadoop-yarn-common.src.main.java.org.apache.hadoop.yarn.factories.package-info,1,1,0,0,2
hadoop-common-project.hadoop-common.src.main.java.org.apache.hadoop.fs.FsStatus,1,1,0,0,2
hadoop-hdfs-project.hadoop-hdfs.src.test.java.org.apache.hadoop.hdfs.server.namenode.TestNameNodeRecovery$EditLogTestSetup,1,1,0,0,2
hadoop-hdfs-project.hadoop-hdfs-httpfs.src.main.java.org.apache.hadoop.lib.wsrs.ShortParam,1,1,0,0,2
hadoop-yarn-project.hadoop-yarn.hadoop-yarn-applications.hadoop-yarn-applications-distributedshell.src.main.java.org.apache.hadoop.yarn.applications.distributedshell.Client,1,1,0,0,2
hadoop-common-project.hadoop-nfs.src.main.java.org.apache.hadoop.oncrpc.SimpleUdpClient,1,1,0,0,2
LightWeightLinkedSet,0,1,0,0,1
