class,buo,bdc,spf,bco,all
src.main.java.org.apache.hadoop.hbase.io.FileLink,0,1,0,0,1
src.main.java.org.apache.hadoop.hbase.master.cleaner.HFileCleaner,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.snapshot.SnapshotLogSplitter,0,1,0,0,1
ArrayList,1,1,0,0,2
TableSchemaModel,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.ipc.ResponseFlag,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.master.CatalogJanitor$SplitParentFirstComparator,1,1,0,0,2
FSVisitor.StoreFileVisitor,0,1,0,0,1
src.main.java.org.apache.hadoop.hbase.thrift.generated.Hbase$incrementRows_result$incrementRows_resultStandardSchemeFactory,1,1,0,0,2
InterfaceAudience.Private,0,1,0,0,1
src.main.java.org.apache.hadoop.hbase.thrift.generated.Hbase$incrementRows_result$_Fields,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.rest.protobuf.generated.StorageClusterStatusMessage$StorageClusterStatus$Region$Builder,0,1,0,0,1
src.main.java.org.apache.hadoop.hbase.thrift.generated.Hbase$scannerOpenWithScan_args$scannerOpenWithScan_argsStandardScheme,1,1,0,0,2
src.test.java.org.apache.hadoop.hbase.client.TestRestoreSnapshotFromClient,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.rest.filter.GzipFilter,0,1,0,0,1
src.main.java.org.apache.hadoop.hbase.thrift2.generated.THBaseService$AsyncClient,0,1,0,0,1
src.main.java.org.apache.hadoop.hbase.thrift.generated.Hbase$getRowsWithColumnsTs_result,1,1,0,0,2
SequenceFile.Writer,0,1,0,0,1
src.main.java.org.apache.hadoop.hbase.thrift.generated.Hbase$isTableEnabled_result$isTableEnabled_resultStandardSchemeFactory,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.thrift.generated.Hbase$deleteTable_result$deleteTable_resultStandardScheme,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.regionserver.RegionServerRunningException,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.thrift.generated.TCell$TCellTupleSchemeFactory,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.mapred.RowCounter$RowCounterMapper,0,1,0,0,1
SecureRandom,1,1,0,0,2
src.test.java.org.apache.hadoop.hbase.util.ChaosMonkey$UnbalanceRegionsAction,1,1,0,0,2
src.main.java.org.apache.hadoop.hbase.thrift.generated.Hbase$disableTable_result,1,1,0,0,2
StackTraceElementMessage,0,1,0,0,1
src.test.java.org.apache.hadoop.hbase.mapreduce.MapreduceTestingShim$MapreduceV1Shim,0,1,0,0,1
