class,buo,bdc,spf,bco,all
openjpa-kernel.src.main.java.org.apache.openjpa.util.ProxyCollections$ProxyIterator,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.compat.EntityC_B1MFK,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.cascade.Edge,1,1,0,0,2
ArrayList,1,1,0,0,2
openjpa-lib.src.main.java.org.apache.openjpa.lib.meta.SourceTracker,1,1,0,0,2
FilterListener,1,1,0,0,2
openjpa-jdbc.src.main.java.org.apache.openjpa.jdbc.kernel.exps.TypeLit$LitExpState,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.query.TestNewEntityAsQueryParameter,0,1,0,0,1
ResultSet,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.kernel.common.apps.Inner,1,1,0,0,2
openjpa-kernel.src.main.java.org.apache.openjpa.util.AbstractLRSProxyCollection$Itr,1,1,0,0,2
openjpa-examples.openbooks.src.main.java.openbook.client.BuyBookPage$BuyPanel,0,1,0,0,1
openjpa-lib.src.main.java.org.apache.openjpa.lib.log.MultiLogFactory$MultiLog,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.jdbc.maps.spec_10_1_26_ex0.Employee3,1,1,0,0,2
openjpa-persistence.src.main.java.org.apache.openjpa.persistence.query.CountExpression,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.jdbc.maps.spec_10_1_26_ex0.Employee1,1,1,0,0,2
openjpa-kernel.src.main.java.org.apache.openjpa.kernel.DelegatingBrokerFactory,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.jdbc.maps.spec_10_1_26_ex0.Employee2,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.jpql.entities.XMLOrderedManyToManyEntity,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.enhance.common.apps.NonPCClone,0,1,0,0,1
TransactionManager,0,1,0,0,1
openjpa-lib.src.main.java.org.apache.openjpa.lib.util.Bytes,1,1,0,0,2
openjpa-persistence.src.main.java.org.apache.openjpa.persistence.QueryTimeoutException,1,1,0,0,2
openjpa-kernel.src.main.java.org.apache.openjpa.ee.SunOneManagedRuntime,0,1,0,0,1
TableModel,0,1,0,0,1
openjpa-kernel.src.main.java.org.apache.openjpa.datacache.DelegatingQueryCache,1,1,0,0,2
SingleEMTestCase,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.jdbc.kernel.TestEfficientAttach,1,1,0,0,2
Selection,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.relations.entity.LrsEntityB,1,1,0,0,2
OpenJPAEntityManager,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.relations.entity.LrsEntityA,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.kernel.AbstractBrokerSerializationTest$TxListener,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.access.xml.XMLEmbedPropAccess,1,1,0,0,2
openjpa-jdbc.src.main.java.org.apache.openjpa.jdbc.meta.strats.EmbedFieldStrategy$EmbeddedRowManager,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.callbacks.PostLoadListenerImpl,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.detachment.model.NoDetachedStateEntityPropertyAccess,1,1,0,0,2
openjpa-slice.src.test.java.org.apache.openjpa.slice.TestXA,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.cache.jpa.TestCacheModeNone,1,1,0,0,2
openjpa-jdbc.src.main.java.org.apache.openjpa.jdbc.kernel.exps.ContainsExpression,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.identity.IdentityGenerationType,1,1,0,0,2
Ref,1,1,0,0,2
TestCase,0,1,0,0,1
openjpa-persistence-locking.src.test.java.org.apache.openjpa.persistence.lock.extended.LSESngTblAbs,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.jdbc.annotations.UnenhancedInappropriateTransient,1,1,0,0,2
openjpa-integration.validation.src.test.java.org.apache.openjpa.integration.validation.XMLSuper,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.relations.Parent,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.query.TestQueryTimeout,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.compat.EntityC_B1MJT,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.relations.BidiChild,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.meta.ImplicitFieldAccessBase_,0,1,0,0,1
openjpa-lib.src.main.java.org.apache.openjpa.lib.meta.SuffixMetaDataFilter,1,1,0,0,2
InverseManager,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.Security,1,1,0,0,2
openjpa-jdbc.src.main.java.org.apache.openjpa.jdbc.meta.strats.RelationMapInverseKeyFieldStrategy,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.proxy.entities.IEquityAnnuity,0,1,0,0,1
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.datacache.TestJPACache,1,1,0,0,2
openjpa-kernel.src.main.java.org.apache.openjpa.kernel.MixedLockLevels,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.delimited.identifiers.Car,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.delimited.identifiers.Cat,1,1,0,0,2
openjpa-kernel.src.main.java.org.apache.openjpa.kernel.FetchConfigurationImpl,1,1,0,0,2
openjpa-persistence.src.main.java.org.apache.openjpa.persistence.PersistenceProviderImpl,1,1,0,0,2
AbstractManagedType,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.meta.MdrTestEntity,1,1,0,0,2
openjpa-persistence.src.main.java.org.apache.openjpa.persistence.OpenJPAEntityManagerSPI,1,1,0,0,2
openjpa-persistence-jdbc.src.test.java.org.apache.openjpa.persistence.jdbc.annotations.TestExtensionAnnotations,1,1,0,0,2
