class,buo,bdc,spf,bco,all
pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDMarkedContentReference,1,1,0,0,2
pdfbox.src.main.java.org.apache.pdfbox.pdmodel.fdf.FDFDocument,0,1,0,0,1
java.io.RandomAccessFile,0,1,0,0,1
PDAnnotationPopup,0,1,0,0,1
ArrayList,1,1,0,0,2
FileNotFoundException,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.io.ASCII85InputStream,1,1,0,0,2
String,0,1,0,0,1
examples.src.main.java.org.apache.pdfbox.examples.pdmodel.GoToSecondBookmarkOnOpen,1,1,0,0,2
pdfbox.src.main.java.org.apache.pdfbox.io.FastByteArrayOutputStream,1,1,0,0,2
AbstractComplexProperty,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.pdfviewer.PDFTreeModel,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDListAttributeObject,1,1,0,0,2
TreeSet,1,1,0,0,2
PDJpeg,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.PDFMerger,1,1,0,0,2
pdfbox.src.test.java.org.apache.pdfbox.TestAll,1,1,0,0,2
pdfbox.src.main.java.org.apache.pdfbox.cos.COSObject,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.pdfwriter.COSStandardOutputStream,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.util.operator.BeginText,1,1,0,0,2
pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators$IfElse,1,1,0,0,2
IllegalArgumentException,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.util.PDFCloneUtility,1,1,0,0,2
pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators$Or,1,1,0,0,2
pdfbox.src.main.java.org.apache.pdfbox.exceptions.COSVisitorException,0,1,0,0,1
pdfbox.src.main.java.org.apache.pdfbox.util.operator.pagedrawer.SHFill,1,1,0,0,2
preflight.src.main.java.org.apache.pdfbox.preflight.action.ActionManagerFactory,0,1,0,0,1
